Airfoil [-],AoA [deg],Re [-],C_l [-],C_d [-],C_m [-]
DTU10_AF_001,0095.0,0.0,00.0010,00.5961,00.0014
DTU10_AF_001,0100.0,0.0,00.0019,00.5962,00.0014
DTU10_AF_001,0105.0,0.0,00.0028,00.5965,00.0014
DTU10_AF_001,0110.0,0.0,00.0037,00.5969,00.0013
DTU10_AF_001,0115.0,0.0,00.0044,00.5973,00.0013
DTU10_AF_001,0120.0,0.0,00.0049,00.5979,00.0012
DTU10_AF_001,0125.0,0.0,00.0053,00.5985,00.0012
DTU10_AF_001,0130.0,0.0,00.0056,00.5991,00.0011
DTU10_AF_001,0135.0,0.0,00.0057,00.5997,00.0010
DTU10_AF_001,0140.0,0.0,00.0056,00.6004,00.0009
DTU10_AF_001,0145.0,0.0,00.0053,00.6010,00.0008
DTU10_AF_001,0150.0,0.0,00.0049,00.6016,00.0007
DTU10_AF_001,0155.0,0.0,00.0044,00.6021,00.0006
DTU10_AF_001,0160.0,0.0,00.0037,00.6025,00.0005
DTU10_AF_001,0165.0,0.0,00.0028,00.6029,00.0004
DTU10_AF_001,0170.0,0.0,00.0019,00.6032,00.0002
DTU10_AF_001,0175.0,0.0,00.0010,00.6034,00.0001
DTU10_AF_001,0180.0,0.0,00.0000,00.6034,00.0000
DTU10_AF_002,-180.0,0.0,00.0000,00.5978,00.0000
DTU10_AF_002,-175.0,0.0,00.0007,00.5978,00.0001
DTU10_AF_002,-170.0,0.0,00.0013,00.5979,00.0002
DTU10_AF_002,-165.0,0.0,00.0019,00.5981,00.0002
DTU10_AF_002,-160.0,0.0,00.0024,00.5983,00.0003
DTU10_AF_002,-155.0,0.0,00.0029,00.5986,00.0004
DTU10_AF_002,-150.0,0.0,00.0032,00.5990,00.0005
DTU10_AF_002,-145.0,0.0,00.0035,00.5994,00.0005
DTU10_AF_002,-140.0,0.0,00.0037,00.5998,00.0006
DTU10_AF_002,-135.0,0.0,00.0037,00.6002,00.0007
DTU10_AF_002,-130.0,0.0,00.0037,00.6006,00.0007
DTU10_AF_002,-125.0,0.0,00.0035,00.6010,00.0008
DTU10_AF_002,-120.0,0.0,00.0032,00.6014,00.0008
DTU10_AF_002,-115.0,0.0,00.0029,00.6018,00.0008
DTU10_AF_002,-110.0,0.0,00.0024,00.6021,00.0009
DTU10_AF_002,-105.0,0.0,00.0019,00.6023,00.0009
DTU10_AF_002,-100.0,0.0,00.0013,00.6025,00.0009
DTU10_AF_002,-095.0,0.0,00.0007,00.6026,00.0009
DTU10_AF_002,-090.0,0.0,00.0000,00.6026,00.0009
DTU10_AF_002,-085.0,0.0,-0.0007,00.6026,00.0009
DTU10_AF_002,-080.0,0.0,-0.0013,00.6025,00.0009
DTU10_AF_002,-075.0,0.0,-0.0019,00.6023,00.0009
DTU10_AF_002,-070.0,0.0,-0.0024,00.6021,00.0009
DTU10_AF_002,-065.0,0.0,-0.0029,00.6018,00.0008
DTU10_AF_002,-060.0,0.0,-0.0032,00.6014,00.0008
DTU10_AF_002,-055.0,0.0,-0.0035,00.6010,00.0007
DTU10_AF_002,-050.0,0.0,-0.0037,00.6006,00.0007
DTU10_AF_002,-045.0,0.0,-0.0037,00.6002,00.0006
DTU10_AF_002,-040.0,0.0,-0.0036,00.5997,00.0004
DTU10_AF_002,-039.0,0.0,-0.0034,00.5996,00.0004
DTU10_AF_002,-038.0,0.0,-0.0031,00.5995,00.0003
DTU10_AF_002,-037.0,0.0,-0.0027,00.5994,00.0003
DTU10_AF_002,-036.0,0.0,-0.0023,00.5992,00.0002
DTU10_AF_002,-035.0,0.0,-0.0020,00.5991,00.0002
DTU10_AF_002,-034.0,0.0,-0.0017,00.5990,00.0002
DTU10_AF_002,-033.0,0.0,-0.0013,00.5989,00.0002
DTU10_AF_002,-032.0,0.0,-0.0010,00.5988,00.0002
DTU10_AF_002,-030.0,0.0,-0.0006,00.5986,00.0002
DTU10_AF_002,-028.0,0.0,-0.0003,00.5985,00.0003
DTU10_AF_002,-026.0,0.0,00.0000,00.5984,00.0003
DTU10_AF_002,-024.0,0.0,00.0004,00.5984,00.0004
DTU10_AF_002,-022.0,0.0,00.0007,00.5983,00.0004
DTU10_AF_002,-020.0,0.0,00.0011,00.5983,00.0005
DTU10_AF_002,-018.0,0.0,00.0015,00.5982,00.0005
DTU10_AF_002,-016.0,0.0,00.0019,00.5982,00.0006
DTU10_AF_002,-014.0,0.0,00.0023,00.5981,00.0006
DTU10_AF_002,-012.0,0.0,00.0026,00.5981,00.0006
DTU10_AF_002,-010.0,0.0,00.0030,00.5981,00.0006
DTU10_AF_002,-008.0,0.0,00.0033,00.5980,00.0006
DTU10_AF_002,-006.0,0.0,00.0031,00.5980,-0.0006
DTU10_AF_002,-004.0,0.0,00.0031,00.5980,-0.0005
DTU10_AF_002,-002.0,0.0,00.0025,00.5980,-0.0003
DTU10_AF_002,0000.0,0.0,00.0019,00.5980,-0.0002
DTU10_AF_002,0002.0,0.0,00.0010,00.5980,-0.0000
DTU10_AF_002,0004.0,0.0,-0.0003,00.5980,00.0003
DTU10_AF_002,0006.0,0.0,00.0006,00.5980,00.0001
DTU10_AF_002,0008.0,0.0,00.0017,00.5981,-0.0001
DTU10_AF_002,0010.0,0.0,00.0027,00.5981,-0.0003
DTU10_AF_002,0012.0,0.0,00.0036,00.5982,-0.0004
DTU10_AF_002,0014.0,0.0,00.0045,00.5982,-0.0005
DTU10_AF_002,0016.0,0.0,00.0053,00.5983,-0.0006
DTU10_AF_002,0018.0,0.0,00.0061,00.5983,-0.0007
DTU10_AF_002,0020.0,0.0,00.0068,00.5984,-0.0008
DTU10_AF_002,0022.0,0.0,00.0074,00.5985,-0.0009
DTU10_AF_002,0024.0,0.0,00.0079,00.5989,-0.0010
DTU10_AF_002,0026.0,0.0,00.0082,00.5994,-0.0011
DTU10_AF_002,0028.0,0.0,00.0084,00.5998,-0.0012
DTU10_AF_002,0030.0,0.0,00.0085,00.6003,-0.0013
DTU10_AF_002,0032.0,0.0,00.0085,00.6007,-0.0013
DTU10_AF_002,0033.0,0.0,00.0085,00.6008,-0.0013
DTU10_AF_002,0034.0,0.0,00.0085,00.6010,-0.0013
DTU10_AF_002,0035.0,0.0,00.0084,00.6011,-0.0013
DTU10_AF_002,0036.0,0.0,00.0084,00.6012,-0.0013
DTU10_AF_002,0037.0,0.0,00.0083,00.6013,-0.0013
DTU10_AF_002,0038.0,0.0,00.0082,00.6014,-0.0012
DTU10_AF_002,0039.0,0.0,00.0080,00.6015,-0.0012
DTU10_AF_002,0040.0,0.0,00.0079,00.6016,-0.0012
DTU10_AF_002,0045.0,0.0,00.0069,00.6020,-0.0011
DTU10_AF_002,0050.0,0.0,00.0057,00.6021,-0.0011
DTU10_AF_002,0055.0,0.0,00.0045,00.6021,-0.0011
DTU10_AF_002,0060.0,0.0,00.0036,00.6022,-0.0010
DTU10_AF_002,0065.0,0.0,00.0029,00.6022,-0.0010
DTU10_AF_002,0070.0,0.0,00.0024,00.6022,-0.0010
DTU10_AF_002,0075.0,0.0,00.0019,00.6023,-0.0009
DTU10_AF_002,0080.0,0.0,00.0013,00.6025,-0.0009
DTU10_AF_002,0085.0,0.0,00.0007,00.6026,-0.0009
DTU10_AF_002,0090.0,0.0,00.0000,00.6026,-0.0009
DTU10_AF_002,0095.0,0.0,-0.0007,00.6026,-0.0009
DTU10_AF_002,0100.0,0.0,-0.0013,00.6025,-0.0009
DTU10_AF_002,0105.0,0.0,-0.0019,00.6023,-0.0009
DTU10_AF_002,0110.0,0.0,-0.0024,00.6021,-0.0009
DTU10_AF_002,0115.0,0.0,-0.0029,00.6018,-0.0008
DTU10_AF_002,0120.0,0.0,-0.0032,00.6014,-0.0008
DTU10_AF_002,0125.0,0.0,-0.0035,00.6010,-0.0008
DTU10_AF_002,0130.0,0.0,-0.0037,00.6006,-0.0007
DTU10_AF_002,0135.0,0.0,-0.0037,00.6002,-0.0007
DTU10_AF_002,0140.0,0.0,-0.0037,00.5998,-0.0006
DTU10_AF_002,0145.0,0.0,-0.0035,00.5994,-0.0005
DTU10_AF_002,0150.0,0.0,-0.0032,00.5990,-0.0005
DTU10_AF_002,0155.0,0.0,-0.0029,00.5986,-0.0004
DTU10_AF_002,0160.0,0.0,-0.0024,00.5983,-0.0003
DTU10_AF_002,0165.0,0.0,-0.0019,00.5981,-0.0002
DTU10_AF_002,0170.0,0.0,-0.0013,00.5979,-0.0002
DTU10_AF_002,0175.0,0.0,-0.0007,00.5978,-0.0001
DTU10_AF_002,0180.0,0.0,00.0000,00.5978,00.0000
DTU10_AF_003,-180.0,0.0,00.0000,00.5848,00.0000
DTU10_AF_003,-175.0,0.0,00.0044,00.5850,00.0006
DTU10_AF_003,-170.0,0.0,00.0087,00.5858,00.0011
DTU10_AF_003,-165.0,0.0,00.0127,00.5870,00.0016
DTU10_AF_003,-160.0,0.0,00.0163,00.5886,00.0022
DTU10_AF_003,-155.0,0.0,00.0194,00.5907,00.0027
DTU10_AF_003,-150.0,0.0,00.0220,00.5930,00.0032
DTU10_AF_003,-145.0,0.0,00.0238,00.5956,00.0036
DTU10_AF_003,-140.0,0.0,00.0250,00.5984,00.0041
DTU10_AF_003,-135.0,0.0,00.0253,00.6013,00.0045
DTU10_AF_003,-130.0,0.0,00.0250,00.6041,00.0049
DTU10_AF_003,-125.0,0.0,00.0238,00.6069,00.0052
DTU10_AF_003,-120.0,0.0,00.0220,00.6095,00.0055
DTU10_AF_003,-115.0,0.0,00.0194,00.6119,00.0057
DTU10_AF_003,-110.0,0.0,00.0163,00.6139,00.0060
DTU10_AF_003,-105.0,0.0,00.0127,00.6155,00.0061
DTU10_AF_003,-100.0,0.0,00.0087,00.6168,00.0062
DTU10_AF_003,-095.0,0.0,00.0044,00.6175,00.0063
DTU10_AF_003,-090.0,0.0,00.0000,00.6177,00.0063
DTU10_AF_003,-085.0,0.0,-0.0044,00.6175,00.0063
DTU10_AF_003,-080.0,0.0,-0.0087,00.6168,00.0062
DTU10_AF_003,-075.0,0.0,-0.0127,00.6155,00.0061
DTU10_AF_003,-070.0,0.0,-0.0163,00.6139,00.0060
DTU10_AF_003,-065.0,0.0,-0.0194,00.6119,00.0057
DTU10_AF_003,-060.0,0.0,-0.0220,00.6095,00.0055
DTU10_AF_003,-055.0,0.0,-0.0238,00.6069,00.0050
DTU10_AF_003,-050.0,0.0,-0.0250,00.6041,00.0045
DTU10_AF_003,-045.0,0.0,-0.0253,00.6013,00.0038
DTU10_AF_003,-040.0,0.0,-0.0241,00.5982,00.0030
DTU10_AF_003,-039.0,0.0,-0.0229,00.5975,00.0027
DTU10_AF_003,-038.0,0.0,-0.0209,00.5966,00.0023
DTU10_AF_003,-037.0,0.0,-0.0182,00.5958,00.0020
DTU10_AF_003,-036.0,0.0,-0.0157,00.5949,00.0017
DTU10_AF_003,-035.0,0.0,-0.0133,00.5940,00.0015
DTU10_AF_003,-034.0,0.0,-0.0113,00.5931,00.0013
